Release 8.1i - Fit J.30
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10- 6-2009  2:33PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  PMD_Motor_Drive_interface.ngd
output file: PMD_Motor_Drive_interface_pad.csv
Part type:   xc2c256
Speed grade: -7
Package:     pq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P106,TIE,,I/O,,,1,,,,,,,
P107,TIE,,I/O,,,1,,,,,,,
P108,TIE,,I/O,,,1,,,,,,,
P109,TIE,,I/O,,,1,,,,,,,
P110,TIE,,I/O,,,1,,,,,,,
P111,TIE,,I/O,,,1,,,,,,,
P112,TIE,,I/O,,,1,,,,,,,
P113,TIE,,I/O,,,1,,,,,,,
P114,TIE,,I/O,,,1,,,,,,,
P115,TIE,,I/O,,,1,,,,,,,
P116,TIE,,I/O,,,1,,,,,,,
P117,TIE,,I/O,,,1,,,,,,,
P118,TIE,,I/O,,,1,,,,,,,
P119,TIE,,I/O,,,1,,,,,,,
P120,TIE,,I/O,,,1,,,,,,,
P121,TIE,,I/O,,,1,,,,,,,
P122,TIE,,I/O,,,1,,,,,,,
P123,TIE,,I/O,,,1,,,,,,,
P124,,VCC,VCC,,,,,,,,,,
P125,TIE,,I/O,,,1,,,,,,,
P126,TIE,,I/O,,,1,,,,,,,
P127,TIE,,I/O,,,1,,,,,,,
P128,TIE,,I/O,,,1,,,,,,,
P129,GND,,GND,,,,,,,,,,
P130,GND,,GND,,,,,,,,,,
P131,PD198,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P132,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P133,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P134,PD197,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P135,TIE,,I/O,,,2,,,,,,,
P136,TIE,,I/O,,,2,,,,,,,
P137,PD194,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P138,PD193,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P139,TIE,,I/O,,,2,,,,,,,
P140,TIE,,I/O,,,2,,,,,,,
P141,GND,,GND,,,,,,,,,,
P142,TIE,,I/O,,,2,,,,,,,
P143,TIE,,I/O,,,2,,,,,,,
P144,TIE,,I/O,,,2,,,,,,,
P145,TIE,,I/O,,,2,,,,,,,
P146,TIE,,I/O,,,2,,,,,,,
P147,TIE,,I/O,,,2,,,,,,,
P148,TIE,,I/O,,,2,,,,,,,
P149,TIE,,I/O,,,2,,,,,,,
P150,TIE,,I/O,,,2,,,,,,,
P151,TIE,,I/O,,,2,,,,,,,
P152,TIE,,I/O,,,2,,,,,,,
P153,TIE,,I/O,,,2,,,,,,,
P154,TIE,,I/O,,,2,,,,,,,
P155,TIE,,I/O,,,2,,,,,,,
P156,GND,,GND,,,,,,,,,,
P157,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P158,TIE,,I/O,,,2,,,,,,,
P159,TIE,,I/O,,,2,,,,,,,
P160,TIE,,I/O,,,2,,,,,,,
P161,TIE,,I/O,,,2,,,,,,,
P162,TIE,,I/O,,,2,,,,,,,
P163,TIE,,I/O,,,2,,,,,,,
P164,TIE,,I/O,,,2,,,,,,,
P165,TIE,,I/O,,,2,,,,,,,
P166,TIE,,I/O,,,2,,,,,,,
P167,TIE,,I/O,,,2,,,,,,,
P168,TIE,,I/O,,,2,,,,,,,
P169,TIE,,I/O,,,2,,,,,,,
P170,TIE,,I/O,,,2,,,,,,,
P171,TIE,,I/O,,,2,,,,,,,
P172,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P173,TIE,,I/O,,,2,,,,,,,
P174,TIE,,I/O,,,2,,,,,,,
P175,TIE,,I/O,,,2,,,,,,,
P176,TDO,,TDO,,,,,,,,,,
P177,GND,,GND,,,,,,,,,,
P178,TIE,,I/O,,,2,,,,,,,
P179,TIE,,I/O,,,2,,,,,,,
P180,TIE,,I/O,,,2,,,,,,,
P181,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P182,TIE,,I/O,,,2,,,,,,,
P183,TIE,,I/O,,,2,,,,,,,
P184,LEDS1,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P185,LEDS0,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P186,TIE,,I/O,,,2,,,,,,,
P187,TIE,,I/O,,,2,,,,,,,
P188,TIE,,I/O,,,2,,,,,,,
P189,TIE,,I/O,,,2,,,,,,,
P190,GND,,GND,,,,,,,,,,
P191,TIE,,I/O,,,2,,,,,,,
P192,TIE,,I/O,,,2,,,,,,,
P193,TIE,,I/O,,,2,,,,,,,
P194,TIE,,I/O,,,2,,,,,,,
P195,TIE,,I/O,,,2,,,,,,,
P196,TIE,,I/O,,,2,,,,,,,
P197,TIE,,I/O,,,2,,,,,,,
P198,TIE,,I/O,,,2,,,,,,,
P199,TIE,,I/O,,,2,,,,,,,
P200,TIE,,I/O,,,2,,,,,,,
P201,TIE,,I/O,,,2,,,,,,,
P202,TIE,,I/O,,,2,,,,,,,
P203,TIE,,I/O,,,2,,,,,,,
P204,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P205,TIE,,I/O,,,2,,,,,,,
P206,TIE,,I/O/GSR,,,2,,,,,,,
P207,GND,,GND,,,,,,,,,,
P208,TIE,,I/O,,,2,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


