Release 8.1i - Fit L.33
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 2-18-2014  9:12AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  FPGA_Project_NRES_RTD_board_rev1.ngd
output file: FPGA_Project_NRES_RTD_board_rev1_pad.csv
Part type:   xcr3128xl
Speed grade: -10
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P66,VCC,,VCC,,,,,,,,,,
P67,DOUT,O,I/O,OUTPUT,,,,,,,,,
P68,X_RESET_FPGA,I,I/O,INPUT,,,,,,,,,
P69,DOUT_3,I,I/O,INPUT,,,,,,,,,
P70,X_CS_4,O,I/O,OUTPUT,,,,,,,,,
P71,START_4,O,I/O,OUTPUT,,,,,,,,,
P72,DOUT_4,I,I/O,INPUT,,,,,,,,,
P73,TDO,,I/O/TDO,,,,,,,,,,
P74,GND,,GND,,,,,,,,,,
P75,X_CS_5,O,I/O,OUTPUT,,,,,,,,,
P76,START_5,O,I/O,OUTPUT,,,,,,,,,
P77,DOUT_5,I,I/O,INPUT,,,,,,,,,
P78,X_CS_6,O,I/O,OUTPUT,,,,,,,,,
P79,START_6,O,I/O,OUTPUT,,,,,,,,,
P80,DOUT_6,I,I/O,INPUT,,,,,,,,,
P81,X_CS_7,O,I/O,OUTPUT,,,,,,,,,
P82,VCC,,VCC,,,,,,,,,,
P83,START_7,O,I/O,OUTPUT,,,,,,,,,
P84,DOUT_7,I,I/O,INPUT,,,,,,,,,
P85,X_CS_8,O,I/O,OUTPUT,,,,,,,,,
P86,GND,,GND,,,,,,,,,,
P87,WPU,,IN3/GCK3,,,,,,,,,,
P88,WPU,,IN2/GCK2,,,,,,,,,,
P89,WPU,,IN1/GCK1,,,,,,,,,,
P90,WPU,,IN0/GCK0,,,,,,,,,,
P91,VCC,,VCC,,,,,,,,,,
P92,X_LVSHDN_3,O,I/O,OUTPUT,,,,,,,,,
P93,X_LVSHDN_2,O,I/O,OUTPUT,,,,,,,,,
P94,X_LVSHDN_1,O,I/O,OUTPUT,,,,,,,,,
P95,GND,,GND,,,,,,,,,,
P96,X_LVSHDN_0,O,I/O,OUTPUT,,,,,,,,,
P97,WPU,,I/O,,,,,,,,,,
P98,X_CS_9,O,I/O,OUTPUT,,,,,,,,,
P99,WPU,,I/O,,,,,,,,,,
P100,WPU,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


